"","SampleID","Date","Timepoint","TotalColiforms_MPN","Ecoli_MPN","nitrate","TotCol_PA","richness","shannon","simp.even","J"
"GWQ_139","GWQ_191","12/8/18","Florence_1_Dec2018",NA,NA,0.017,0,132,3.48166055273732,0.0935845759129227,0.746586474589789
"GWQ_168","GWQ_281","12/8/18","Florence_1_Dec2018",NA,NA,0.009,0,113,3.23693743297662,0.123850262924562,0.717587729855077
"GWQ_186","GWQ_260","12/8/18","Florence_1_Dec2018",1,0,0.138,1,633,3.87610119076356,0.11814711266906,0.769532988836583
"GWQ_187","GWQ_007","12/6/18","Florence_1_Dec2018",NA,NA,0.015,0,673,3.65791086523095,0.0802126156217883,0.709027264310943
"GWQ_191","GWQ_029","12/6/18","Florence_1_Dec2018",NA,NA,0.008,0,132,2.41876729959312,0.102204925479412,0.590758120826157
"GWQ_195","GWQ_037","12/6/18","Florence_1_Dec2018",NA,NA,0.005,0,525,2.96390399153784,0.0355865598362178,0.603320212894166
"GWQ_222A","GWQ_040","12/6/18","Florence_1_Dec2018",NA,NA,0.006,0,157,3.07090485104851,0.193953090144504,0.738396533274923
"GWQ_222B","GWQ_044","12/6/18","Florence_1_Dec2018",NA,NA,0.01,0,170,2.98554102060449,0.168925088571533,0.715204610299402
"GWQ_247","GWQ_045","12/6/18","Florence_1_Dec2018",NA,NA,0.009,0,451,3.25917463976304,0.0968561595863748,0.688141486315434
"GWQ_260","GWQ_047","12/6/18","Florence_1_Dec2018",NA,NA,0.011,0,193,2.71707828858946,0.189047006282643,0.69815101429748
"GWQ_262","GWQ_059","12/6/18","Florence_1_Dec2018",NA,NA,0.008,0,329,3.38062702782833,0.150162337662338,0.727894593982888
"GWQ_265","GWQ_076","12/6/18","Florence_1_Dec2018",7.5,NA,0.022,1,1378,4.8613076242398,0.211993888464477,0.852794622322389
"GWQ_268A_SINK","GWQ_103","12/6/18","Florence_1_Dec2018",NA,NA,0.009,0,681,3.60335571883027,0.103686291572079,0.723041763195
"GWQ_268A_WELL","GWQ_118","12/6/18","Florence_1_Dec2018",NA,NA,0.011,0,608,3.54379140217453,0.108186080057699,0.716096856722569
"GWQ_268B_SINK","GWQ_186","12/6/18","Florence_1_Dec2018",NA,NA,0.012,0,627,3.50866517154701,0.104108546342476,0.713146092320762
"GWQ_268B_WELL","GWQ_187","12/6/18","Florence_1_Dec2018",NA,NA,0.01,0,701,3.63033438903705,0.113837747366348,0.730477015976993
"GWQ_281","GWQ_195","12/6/18","Florence_1_Dec2018",NA,NA,0.006,0,651,3.57640766813352,0.0887659138890666,0.710953544009457
"GWQ_296","GWQ_222A","12/6/18","Florence_1_Dec2018",NA,NA,0.005,0,1113,4.65078624747607,0.191414513013888,0.835792827959767
"GWQ_337","GWQ_247","12/6/18","Florence_1_Dec2018",NA,NA,0.008,0,798,4.25239554614462,0.100374934037894,0.777679000666926
"GWQ_93B","GWQ_262","12/6/18","Florence_1_Dec2018",NA,NA,0.008,0,123,4.03577036040063,0.2305851461619,0.852111752574197
"GWQ_A001","GWQ_265","12/6/18","Florence_1_Dec2018",NA,NA,0.012,0,539,3.94995590861724,0.174921477941158,0.797032637076951
"GWQ_A002","GWQ_268A well","12/6/18","Florence_1_Dec2018",NA,NA,NA,0,605,4.15968378751629,0.158171230252346,0.812756705063709
"GWQ_A003","GWQ_268B well","12/6/18","Florence_1_Dec2018",NA,NA,NA,0,1867,3.73937223060538,0.068513631400778,0.71054386566189
